"t_state","p_year","total_cap"
"MN",2008,21879.175
"MN",2009,1658.6
"MN",2010,36640.25
"MN",2011,54651.95
"MN",2012,24899.73
"MN",2013,NULL
"MN",2014,1536
"MN",2015,20000
"MN",2016,23120
"MN",2017,20000
"MN",2018,1241.74
"MN",2019,6141.18
"MN",2020,38348.8
"MN",2021,21104
"MN",NULL,NULL
"MO",2007,1530.9
"MO",2008,2439.2
"MO",2009,10658
"MO",2010,14850.0
"MO",2012,NULL
"MO",2016,15068.25
"MO",2017,45000
"MO",2019,NULL
"MO",2020,128219.1
"MO",2021,10308.6
"MO",NULL,NULL
"MT",2005,12161.14
"MT",2006,54
"MT",2007,16
"MT",2008,7777.5
"MT",2009,7141.5
"MT",2010,84.0
"MT",2012,25008
"MT",2014,118.32
"MT",2016,388.7
"MT",2018,2823.09
"MT",2020,2317.1
"MT",2021,26617.8
"MT",NULL,NULL
"NC",2009,0.1
"NC",2017,21632
"ND",1997,0.4
"ND",2001,0.9
"ND",2002,6.1
"ND",2003,1387.5
"ND",2005,693.0
"ND",2006,1513.16
"ND",2007,11523.18
"ND",2008,28846.14
"ND",2009,32360.1
"ND",2010,9617.9
"ND",2011,147
"ND",2012,7462
"ND",2013,1.6
"ND",2014,13107.2
"ND",2015,15872.5
"ND",2016,49164.67
"ND",2017,15815.5
"ND",2018,3669.45
"ND",2019,37914.98
"ND",2020,25549.76
"ND",2021,21214.8
"ND",NULL,NULL
"NE",1998,1.32
"NE",2005,2138.4
"NE",2009,2187
"NE",2010,2400.1
"NE",2011,5473.5
"NE",2012,4924
"NE",2013,3291.2
"NE",2014,26893.9
"NE",2015,3040.7
"NE",2016,80717.7
"NE",2017,3620.8
"NE",2018,48918.85
"NE",2019,11361.42
"NE",2020,30132.43
"NE",2021,4270.25
"NE",NULL,NULL
"NH",2008,288
"NH",2009,0.1
"NH",2012,4419
"NH",2015,71.25
"NH",2019,259.2
"NJ",2005,37.5
"NJ",2012,1.5
"NM",1999,0.66
"NM",2003,27746.64
"NM",2004,3600
"NM",2005,14800
"NM",2008,1.5
"NM",2009,3976.0
"NM",2010,6553.6
"NM",2011,1411.2
"NM",2012,354.9
"NM",2013,NULL
"NM",2014,357.2
"NM",2015,31412
"NM",2016,506.4
"NM",2017,55827.0
"NM",2018,1018.0
"NM",2019,18522.0
"NM",2020,139793.2
"NM",2021,16172.8
"NM",NULL,NULL
"NV",2012,10018.8
"NV",2014,NULL
"NY",2000,146.85
"NY",2001,570
"NY",2002,1.1
"NY",2005,11366.85
"NY",2006,20697.6
"NY",2007,953.5
"NY",2008,17841.0
"NY",2009,39170.5
"NY",2010,0.2
"NY",2011,4132.45
"NY",2012,15144.85
"NY",2013,4380.48
"NY",2014,220.32
"NY",2015,4.4
"NY",2016,2875.1
"NY",2017,1.5
"NY",2018,6022.4
"NY",2019,NULL
"NY",2020,NULL
"NY",2021,3472.875
"OH",2003,7.2
"OH",2004,7.2
"OH",2006,0.225
"OH",2009,0.58
"OH",2010,7.925
"OH",2011,5447.7
"OH",2012,46241.205
"OH",2013,6.8
"OH",2014,0.9
"OH",2015,19.5
"OH",2016,4839.9
"OH",2017,1995.0
"OH",2018,4429.5
"OH",2019,27.0
"OH",2020,3906
"OH",2021,18525
"OK",1983,NULL
"OK",2001,0.1
"OK",2003,10277.25
"OK",2005,21204.6
"OK",2006,2400
"OK",2007,6652.5
"OK",2008,10256.1
"OK",2009,15239.5
"OK",2010,22845.86
"OK",2011,35411.3
"OK",2012,108090.35
"OK",2014,63710.3
"OK",2015,149581.34
"OK",2016,108489.0
"OK",2017,78196.35
"OK",2018,50504.44
"OK",2019,2801.4
"OK",2020,107169.46
"OK",2021,35061.22
"OK",NULL,NULL
"OR",1998,953.04
"OR",2001,11798.16
"OR",2002,3434.4
"OR",2003,1681
"OR",2005,3750
"OR",2006,7316.4
"OR",2007,42800.2
"OR",2008,9023.4
"OR",2009,36778.35
"OR",2010,17977.7
"OR",2011,40995.35
"OR",2012,68540
"OR",2016,59.4
"OR",2017,250
"OR",2019,11247.6
"OR",2020,36104.8
"OR",2021,NULL
"OR",NULL,NULL
"PA",2001,204
"PA",2003,3373.5
"PA",2006,626
"PA",2007,4153.5
"PA",2008,1092.0
"PA",2009,17645.5
"PA",2011,728.4
"PA",2012,28947.6
"PA",2016,558.6
"PA",2019,2250
"PR",2012,4757.0
"PR",2013,2.49
"PR",NULL,1.0
"RI",2006,0.66
"RI",2009,0.2
"RI",2012,15.53
"RI",2016,183.0
"RI",2017,1.5
"RI",2018,21
"SD",2001,5.632
"SD",2002,0.108
"SD",2003,1094.25
"SD",2007,1944
"SD",2008,5221.5
"SD",2009,3193.6
"SD",2010,33694.5
"SD",2011,2847.0
"SD",2014,214.5
"SD",2015,8645.65
"SD",2018,372.6
"SD",2019,37210.18
"SD",2020,54561.88
"SD",2021,44179.78
"SD",NULL,NULL
"TN",2000,5.94
"TN",2004,405
"TX",1999,1495.56
"TX",2001,115743.95
"TX",2002,NULL
"TX",2003,26540.5
"TX",2005,63943.56
"TX",2006,83662.3
"TX",2007,189308.6
"TX",2008,277527.0
"TX",2009,222845.69
"TX",2010,56284.7
"TX",2011,13301.2
"TX",2012,143949.76
"TX",2013,11711.3
"TX",2014,208393.97
"TX",2015,348270.068
"TX",2016,241321.43
"TX",2017,184030.44
"TX",2018,194780.0
"TX",2019,452871.81
"TX",2020,420008.21
"TX",2021,158793.86
"TX",NULL,0.06
"UT",2000,0.66
"UT",2005,0.66
"UT",2008,170.1
"UT",2009,19741.0
"UT",2011,6936
"UT",2015,NULL
"UT",2016,1678.49
"UT",NULL,NULL
"VA",2021,24
"VT",1997,66.6
"VT",2009,0.2
"VT",2010,0.2
"VT",2011,640
"VT",2012,1363
"VT",2013,0.1
"VT",2017,450
"WA",2001,47382.72
"WA",2002,1779.7
"WA",2003,187.2
"WA",2005,12400.2
"WA",2006,55565.7
"WA",2007,28760.1
"WA",2008,8077.2
"WA",2009,33396.3
"WA",2010,12712.4
"WA",2011,29999.6
"WA",2012,13033.95
"WA",2014,30948.8
"WA",2015,NULL
"WA",2020,13742.7
"WI",1999,190.74
"WI",2001,600
"WI",2004,NULL
"WI",2008,26645.25
"WI",2009,1944.1
"WI",2010,160.4
"WI",2011,14580
"WI",2012,75.5
"WI",2017,4802
"WV",2002,2904
"WV",2008,18640
"WV",2010,6733.5
"WV",2011,6493.6
"WV",2012,153.6
"WV",2016,5022.5
"WV",2020,1124.0
"WV",2021,NULL
"WY",1998,2.4
"WY",1999,836.85
"WY",2000,489.84
"WY",2001,2450
"WY",2003,11520
"WY",2005,2.64
"WY",2008,21542.4
"WY",2009,25115.75
"WY",2010,30236.1
"WY",2016,3680
"WY",2020,93540.44
"WY",2021,42776.2
"WY",NULL,NULL
